	2459
市场	2068
外长	6757
商店	3928
低劣	2792
别名	3268
它会	868
道	213
没起	5660
牙齿	1062
重磅	6787
走投无路	1505
心里话	5500
部	4697
只	497
不能容忍	4914
别向	1793
关灯	696
拜访	5042
灰蒙蒙	6493
可真	5586
穴位	3591
开通	4516
业绩考核	2198
近视眼	4321
洗澡	1156
最起码	134
徐鸣	6792
考好	2168
川菜	6371
摆	6101
陈小雨	6866
内蒙古	6443
特效	5143
硬伤	4358
孤	3712
全	2730
买房	6251
数	2758
举行	3144
声控	3993
国	5561
同性恋	5020
气人	1998
腰痛	1267
烦人	330
越狱	6751
过戏	4783
红	3366
现状	3894
昵称	3274
口渴难忍	1917
你的故事	759
画	3983
烦事	1614
发声	4090
圣上	6478
大车	5008
要染酒	5076
公共场合	3279
忍心	455
哦	349
好消息	5695
嗓子	987
腰疼	1251
森	1577
曲	5123
风雨	3391
一	285
同性	5018
喝喝	1920
money	4483
出去玩	2129
抽不起	3125
别因	2023
然后	5463
搭配	5528
那错	4826
古典音乐	5109
一杯水	5716
打瞌睡	3420
不管	1233
消食	1431
哪类	6502
痘痘	1211
凉着	2052
没过	2144
困难	3385
对	220
问这问那	5694
按	1477
优秀	3457
办法	630
奈何	3072
美味佳肴	5050
专注	2954
外面	1737
双截棍	6692
游戏	584
吧	80
每月	1539
难耐	6585
职位	3470
健美操	4572
汉语	5721
夜雨	6389
面条	1625
清华大学	5309
坑	1323
盐	1922
玩具	5416
大象	2324
回见	609
霍建华	3977
拍过	4796
坐会	3229
兴趣	2575
累到	3231
表格	4349
国人	3788
国产	5135
贵州	4667
细说	3081
下等	677
飙车	5804
存款	4484
求	783
装	6143
注册	4519
香菇	6852
小丽	1271
小明家	4202
周一	1573
骨折	941
破壳	4427
小东	3226
哪一位	3334
大跌	5583
别开玩笑	2434
句子成分	308
性格	3890
洗洗	3709
七夕节	5733
淘气	5620
鸡	5898
都是我的错	102
虚脱	1215
视力	3539
所处	4836
庆祝	6452
小人	2741
他	175
黑漆漆	2116
和我在一起	4168
哑	2130
小事	2528
小了	2563
科塔娜	6161
电梯	2323
每晚	1308
坐下	805
淘汰	2141
12	1688
职业	3473
眼腈	3531
外观	5000
披着	1778
areyouok	3441
人群	499
通过	2162
凌晨	3423
歌曲	4054
李白	6076
聊聊天	782
票房	5570
转正	1927
真心	218
分享	5152
面积	5650
调皮捣蛋	6790
拉手	5977
狗	3568
飘洋过海	6138
顾客	4288
担子	3069
差别	3958
书籍	6540
关注	784
念	3316
陪我去	1597
真苦	1931
对比	4843
冻僵	6260
妆	3966
含义	4075
手头	2361
惹人烦	5654
错	151
好动	5073
元宵节	5378
取名字	4069
崩溃	1360
浑浑噩噩	1044
歌是	4957
摇滚	4625
别让我看见	487
设置	3706
留	811
你要什么	4417
来	413
饱	1421
还好	2621
歌星	5113
差劲	1483
控制	1205
春天	4599
憋	961
钢铁侠	6332
止咳	6651
实际	6505
傅盛熟	6214
咳	6287
听得见	2056
有苦	6561
尽然	4762
雅	6815
表白	4759
影片	4723
呆萌	2891
不和	6632
撑得	1424
向往	4930
意外	653
停下来	6603
日语	5703
女生	3671
床	1390
搞不清	5511
重新	2222
二百五	2762
垃圾场	2812
抢	1456
梦	3911
眯	3166
赵又廷	6682
划分	4432
线性代数	6677
仔细	4470
低俗	2788
下新	3806
八块	3609
神采奕奕	3383
个性	6607
严重	1088
好受	899
姓甚名谁	4128
歌有	4950
比例	4315
使	2460
刀	6186
各	5261
师	1862
时隔多年	5426
女皇	3044
24	3985
27	2979
彻底	318
毕业	5432
离婚	4228
玉米	5043
外语	3883
川普	5195
北京天安门广场	4933
红烧肉	6486
小冰熟	6771
马上	645
发微博	4511
李	2679
两款	6341
微微一笑	2851
小区	2935
马东	5349
糟	1348
去向	3774
开车	2965
衣服	722
答应	2531
人逢喜事精神爽	3356
凭	2647
不来	124
洗头发	3509
能变	6472
曲风	5097
尊崇	4243
活着	3386
节操	4190
预防	5238
交朋友	4535
饥饿难耐	6317
十	3422
询问	3703
烟戒	2413
法语	6216
马云	4087
面黄肌瘦	5239
捡	2436
药能治	1200
闲扯	873
欢呼雀跃	2859
咆哮	1872
刚出生	3133
下来	1142
购物	1562
闹矛盾	6871
十分	250
银行	5901
生龙活虎	3382
公平	1320
计算	4381
留在	4727
金鱼	6456
春季	4976
做菜	2969
房东	1859
模仿秀	5301
测过	4369
炫舞	6407
滑轮	3815
饭店	1686
小刚	1272
大量	848
读	2917
感冒药	1084
晋级	5916
废料	2798
展示	4555
信息工程	5939
阳光	2866
喧嚣	2070
告诉	591
如果	1550
萝莉	6848
徐志摩	6449
胸大肌	3606
智商	2823
宰	1339
了解	170
路边	1453
来晚	153
四周	4934
会意	752
路过	2811
不是	96
四十不惑	6829
订	3900
顶嘴	6316
人类	3669
散架	3225
模仿	5300
问些	6364
批评	121
身份证	3760
谢娜	6442
高兴	169
为什么	53
左耳	302
荤段子	5927
剧院	4791
写	1934
偏爱	4915
不难	2922
不懂	4846
骨科	6669
豆饼	4033
逃避	5738
百度	4124
有点	881
大雾	507
守法	3698
跑	2003
叠音	3288
确定	196
试	2285
确实	187
去别	5608
感情	1322
竟	6658
偷情	6090
肚子疼	944
流泪	1948
无感	293
八卦新闻	5185
大雅	5815
爸爸回家	3492
交互	5530
乐色	2806
戒烟	2330
决绝	4754
表现	322
服	320
惊慌	2020
那边	424
老鼎丰	4079
恭喜	2938
三星	6205
计谋	4404
歌手	4952
无言以对	6659
没错	4861
作诗	6237
留下	6639
步步高	4641
就算	4179
担心	2097
洛奇	5610
流汗	1957
不愿	1838
没长	3525
天黑	744
羞辱	3657
晨跑	3096
心上人	3151
大陆	4735
无赖	6402
时	226
清明节	5274
挨批	2208
黑头	3631
特殊性	4180
走神	274
灰太狼	6367
好在	3805
搬家	2933
挤	3183
父亲节	5384
起床	1391
脸	2670
解渴	6293
惊悚	4724
外貌	3637
哪来	2554
哪条	4894
小名	3276
所在位置	4831
青少年	2620
熟悉	5468
怀疑	3053
增减	6225
过程	3011
恐怖电影	6265
心累	1556
顺畅	2468
一会儿	521
甩掉	2996
极致	2896
夜路	2112
活	1526
不急	4508
八十	4273
艺术	5548
探讨	5197
比	2487
妹儿	6823
八卦	5183
努力	2152
厉害	357
流浪	1302
幽默	385
哪染	4337
女	1355
答复	3987
亲爱	6802
英语课	1046
初次见面	4289
好吧	263
好听	6406
蛀牙	5999
没闹醒	2271
难题	2080
自动档	4989
热水	3508
平足	3573
睁不开	3187
好吃	1563
五脏六腑	945
吓到	5783
缺根筋	2755
近	4326
上过	4794
量量	4319
不见得	1833
车	1448
不掉	2353
好呀	406
外边	703
以外	4770
咋办	750
省	3994
google	5308
这里	267
非常感谢	5210
刚作	300
一见	3663
在路	3967
吗	7
黄色笑话	6110
肤色	3358
稍低	2428
是否是	3786
鞋子	920
设	6038
声音	324
抓到	1374
坐在	4942
职场	2209
很空	1676
修身	4652
调皮	4367
增加	1006
凭空	5510
个别	5470
证明	5713
女王	5400
伐	1568
中奖	2873
投入	2952
三观	2438
退朝	6434
所有人	4758
通知书	2858
阑尾炎	958
持续	4688
静音	4058
介质	4886
傅有	4125
爱奇艺	4635
床前明月光	6629
超市	2091
丢钱	1571
愈久	1806
动力	2553
耳边	2640
任何	4084
哭	1089
离开	469
蛋糕	3828
快泪	1941
这么回事	5867
打扫卫生	6178
静静	660
排斥	768
你真漂亮	4852
有点儿	5567
够	398
这部	4786
看不惯	4902
老公	1523
不透气	1175
乱糟糟	1611
肺	3119
告辞	603
成家	3074
涨工资	2478
碰见	5434
当老板	4400
进一步	6533
牙	1057
行为	2660
腰直	1256
瞌睡虫	3222
嗜好	4601
健身房	3111
不成	765
行业	3948
睡够	3172
染成	3518
紧皱	1619
去年	3947
生肖	5770
轻音乐	5101
骗	1331
隐瞒	6253
所以	2336
奖励	3018
传译	5849
面熟	5568
说些	2638
词	2718
十二	4434
几时	4424
孤独的我	1731
打车	5313
播报	6726
抛弃	2220
工程	2615
心烦	1558
针	2054
所在地	4892
段子	6853
老爷子	4250
特点	3456
朕	730
母亲	3261
菜名	5577
师傅	2253
方案	2960
便秘	6474
房子	4889
人真	2772
中国	38
总	1206
小姐	2892
提不起	2574
高科技	6552
老师	307
李红	1767
忧伤	1468
记过	2197
小妹	4209
把柄	1375
喝不喝	4926
受伤	654
得口	5772
30	1974
迷糊	222
开发	3811
你滚	466
愉悦	2845
心灵	1305
哪款	5162
辩论	5092
弄	631
马云人	4089
琢磨	5516
展现	6832
哪一天	4421
事请	3830
起劲	5334
猜	3942
完了	565
下流	2733
年轻	3073
讲讲	4748
萌萌	2878
无肉	5778
照片	2897
得到	3030
为	2941
抽	2352
对抗	5311
雌性	5025
真话	1380
真诚	4467
高富	4491
开口	5540
讲话	241
好学	5155
人直	1966
鬼叫	6418
春光	3373
一问三不知	2448
这样的人	2657
高寿	3935
语音	4047
古诗	5642
码	3565
只在乎	6722
远处	4329
系统	3974
无耻	2735
戏曲	6873
土	2369
小声	6613
我放弃	2337
鸡肉	5046
聚餐	5359
鸡肋	2452
心焦	1707
动不动	1203
得劲	2862
躺	700
秀	4640
她们	2110
不谦虚	2586
对手	5915
无聊	800
羞花	3641
意识到	6636
去往	3778
香港脚	3564
国家	2726
小孩	1144
闪电	3002
四川	4006
可怜	1849
玉言	5490
特爱	4917
可怕	2123
形容	2389
胸围	4312
谈朋友	4532
豆瓣	6399
小字	3272
小孔	6369
考上	2142
第七十六条	6311
离别	5754
小妮子	6830
规划	4120
满房	2403
非	3109
透漏	6139
嫌弃	4693
什么情况	3427
诠释	3879
眩晕	1039
发作	1168
更新	3809
秋和冬	4977
看错	261
孤单	46
热闹	168
如	1804
过生	4423
然并卵	6166
房奴	3852
掏空	1273
出差错	2540
加长	6580
陕西话	6230
我得消	1430
人生	1517
欢乐	3397
样	4978
心爱	5011
貌美如花	3643
你俩	5599
天都	6071
考了	2169
可惜	851
不知道	186
小家	3158
力量	3623
功能	2451
更改	4297
护理	3514
瘦	1117
饭	1429
眉头	1618
屯	5683
问点	5626
依靠	4887
没事	431
吹得	1025
脱单	3160
欠	5900
帮	19
好处	5233
不紧不慢	2495
卑劣	2734
好好	364
音乐	4939
要人命	1074
辞退	2115
感激	5835
弟子规	5585
羞耻	3658
宫斗剧	4594
不靠谱	2488
奶妈	4266
绝症	3744
没听够	4823
好奇	4030
小娜	5598
帮找	5263
年货	2065
厌烦	4903
左边	1069
于	4840
我	20
说晚安	6290
奶奶	4221
互动	5532
关机	6798
给我你的手	6445
大餐	2377
假设	2582
找打	5631
累	342
逗逼	2666
越吹越	1979
提	5538
美联航	5888
挑个	4561
回	550
不清	1032
节假日	5064
眼镜	3536
摔倒	5956
小明会	4920
嘶哑	985
穿着	1660
成为	3145
脚真疼	933
本事	6827
意味	639
辛不	3849
可是	853
公公	4234
高度	4331
尺码	4318
岁数	6498
方法	2286
聚精会神	4469
姥爷	4271
摊尸	3910
改下	4298
鸟语	2727
尊口	5497
成亲	4237
老婆	1969
献殷勤	5984
劳动节	5381
缓解	2004
行列	4554
羞羞	3651
以及	3128
下棋	4402
睡前	3219
四季	4968
向前	704
光	6545
位置	4837
位	5131
睡到	2236
湖南	4720
软妹子	6179
本书	6834
跳下来	3739
傻傻	3963
拉拉队	5182
吸引力	2570
玉龙雪山	4853
坏话	3690
烦心	5580
塞车	2084
凑到	1613
导致	1226
可有	4203
黑头发	3498
中午	89
闲聊	875
只想去	3213
以前	2977
孩子们	2081
假货	1354
撒娇	4763
拿下	3037
心疼	1064
火线	6642
相比	3337
增多	5994
锻炼	2287
心痛	1846
晒	1914
痛	890
自动挡	4986
讲述	5140
流鼻血	1189
主要	3339
搜索引擎	5279
老家	3752
冠军	5174
时生	3398
老子	1581
谁的孩子	3350
解解渴	1888
二货二货	6838
红裙子	5079
手机游戏	6709
月亮	6116
怎么办	113
屁	5492
女神	5398
冷飕飕	6057
现招	5256
萨德	6291
方向	2543
今年冬天	6482
类	5138
北京国安	6366
问候	4050
恩	729
过小冰	6488
关	5767
女票	5234
好心	1333
到来	4605
出生日期	3986
广东话	2724
中去	2071
表示	2822
泡汤	1365
死人	1988
这会儿	739
利用	1311
昂	3685
他会	867
喝	1059
会泡	6562
死了	2750
西安	4669
异地	3715
著名作家	3833
踢足球	4946
打篮球	4947
哇	3405
岁月	1324
介	5266
哪一年	3945
莫名	1630
伸出	3561
国产车	5004
烟	2344
盆花	5482
赢	5290
心目	6599
赵丽颖	5847
有趣	5544
满满的	6323
道德	3700
舞蹈	4546
精力旺盛	340
语速	2512
遇事	1827
借	1711
垃圾堆	2810
小心	893
技巧	6495
北京大学	5310
更慢	2499
公司	70
小微	3823
唠	792
地址	2689
四处	2876
高	1016
这首	4960
难道	1123
患病	5242
认真	4162
四大	6772
开	2074
处	4533
我想看	3867
布	5706
已婚	4232
快递	2258
快速	479
甜	2926
乐天	6292
这项	3812
购买	5005
何事	3428
徐总	6794
速度	2509
吓死人	2193
下次	259
老妈	3010
面目	5966
bug	5248
如此	2019
你	1
旧	2464
看透	2489
盼来	5997
跳街舞	4568
眼里	5834
磨磨蹭蹭	5488
畅谈	4661
数据线	1458
何为	5727
食材	4151
怕	2117
门票	6743
吵闹	2059
死会	6157
英语水平	6436
坐公车	4993
开花	6008
妹子	2888
他人	1340
愿	4713
这题	1700
好巧	5415
小康	5474
占领	6543
不用说	754
炖排骨	5364
沉鱼落雁	3638
您老	2589
冻得	3676
手细	5649
老大	4528
是否	816
鸡蛋	1705
鸣翠柳	6330
他们	749
受得了	1169
哄人	81
扔下	2819
等到	592
神经病	2836
播放	4055
银川市	5798
怀	3131
胡乱	240
料	5194
瞅	5864
交际舞	4566
案件	2617
发生	2519
话剧	4591
宽	2318
想不开	1632
惊喜	6810
许嵩	4949
两天	1058
直呼其名	4291
话	404
养狗	6031
生不如死	6037
嘴巴	2637
双倍	2356
糟透了	1474
呸	6064
接近	4907
多钱	2366
找女	5260
古时候	6043
扯淡	6054
驾照	2173
姐姐	1241
找对象	4541
抬	928
解决问题	4012
叫二货	6839
小憩	524
姐妹	4200
鼓起来	1427
清朝	5678
心跳	2846
倒楣	1906
四有	4002
胃药	969
老是	1167
签下	3026
黄莲	1552
人体	5960
安静	1298
往往	2605
里面	790
人人	1831
爱聊	5346
买买	1579
禁止	764
到家	1970
上海话	5786
吃饭	33
破皮	919
足	3341
何炅	4963
吃饱	1428
洗衣服	3707
脸红红	5753
人们	2501
超标	3592
勿扰	664
原籍	3754
便宜	5007
跟床	1386
一点儿	2921
含羞	3662
吵吵闹闹	2060
长胖	3059
过份	5524
mv	5106
彻底失败	2161
会去	3933
my	3321
敌军	569
胆子	380
哪去	438
班有	5205
咋整	1186
拉去	436
圣诞节	5375
清晨	2069
酸心	1843
台湾	6167
多长	4045
啰嗦	2631
人世	4430
老板	529
说真	4163
用钱	3136
张靓颖	6663
姐	2012
西班牙语	5587
乖乖	5667
婢女	717
哪句	852
累累	5674
王者	6849
不同	3810
模糊	896
小屁孩	3666
青岛	6159
过书	5562
不吐	3198
退出	619
重庆话	5662
救济	2385
这场	632
账号	129
你听	817
王菲	5904
中国人	3782
气愤	3717
好怕	2113
东西	578
活蹦乱跳	6420
皮肤	3042
仇人	4900
写难	6121
玩成语接龙	6228
玩游戏	4148
穿件	1786
素质	2786
变迁	4736
中气	3378
电子商务	4093
说了半天	2716
后背	1698
能见	5651
来道	6232
在里面	5478
很令	5857
创业	6747
瞎	904
记不清	2521
帐号	4520
介意	4304
显得	4651
唠嗑	874
贵	3124
有事没事	4503
阿里巴巴	4091
好想	1977
脸形	3650
很乐	3395
不在	126
说理	2257
不出意外	2269
好惨	1378
废品	2797
芳龄	3940
卡	145
啥	91
头顶	1042
酷毙了	373
搭线	5259
胖胖的	6149
阳性	4352
青年	4003
哪儿	415
活下去	3723
压	1612
适应	4622
毛病	2613
照亮	5211
花千骨	5630
中秋节	5386
好感	4160
男里	5028
下坏	2190
节制	6403
好意	4751
急诊室	3746
烦恼	1495
气息	4610
懂得	2713
好慢	2491
关心	1114
处处闻啼鸟	6063
溜达	1586
恐龙	506
可好	786
盹	3216
已是	3063
言情剧	5838
三	3062
王艳	4898
到处	304
身体状况	5937
形成	4022
度过	3952
退去	706
美图秀	4639
扁	2374
腰酸背痛	1268
久等	5466
贝多芬	6360
诈骗	1349
后腿	2201
甜美	4395
橡皮	6164
哪几	4988
如何	11
竟然	1653
善解人意	390
来不及	256
会儿	458
爱情片	4589
到底	818
咋	1776
来人	829
蔚蓝	4453
思考	1515
赏脸	5227
煤气中毒	1047
语无伦次	5993
不出	980
小敏	5229
不准	472
刑法	6310
伟人	4121
抽烟	2351
许多	846
不可	2669
问下	3765
对我说	838
健康	2399
坐窗	6117
怎么爱你	6055
理想	2008
脱水	1219
不再	1716
转弯	2708
失落	5686
好晚	3214
深	6650
简直	317
不写	5718
考	1634
高昂	3384
三十而立	6828
现实	4396
摔了一跤	1656
八戒	6015
压岁钱	1347
何用	2678
不关	5549
求知欲	2628
小时	1282
伤风	1094
贱	2018
一共	6878
答案	4923
炸	993
360	4119
哪国	6425
捅	5410
能载	4259
婚姻	2009
内要	2402
boss	4526
偷偷	3178
傻子	2768
小方	5419
下会	5682
营养价值	6574
小新	1243
咕咕	1679
双鱼座	4436
倒流	233
野餐	3914
身边	405
穿	1752
终归	5440
感冒	986
天气	1337
幸会幸	6356
患上	1170
一日三餐	6858
不像	4802
Cortana	6666
学霸	2903
小冰	5687
对应	4433
xxx	4908
考试题	2165
硬朗	4251
魔	4437
发火	1788
冬季	4971
票	2442
同行	5869
用途	3798
意淫	5673
体现	3295
少	1774
完爱	6016
哪些地方	4910
歌卖	5126
自行车	1454
不停	886
一边	419
发炎	974
搞笑	165
郎	5221
发烧	1030
饭菜	2086
发烫	3681
发热	1092
织女	5436
翻滚	963
苍井空	6721
说	105
鹦鹉	6592
不借	778
塔	5747
心事	5287
优先	4760
在哪儿	3522
上下班	675
直觉	6296
直视	3534
脚	907
冒个	5489
附近	5231
独生女	4222
人满为患	2067
自负	2585
恐高	1013
钟爱	5132
总裁	4522
痛苦	1003
感动	1943
菊花茶	1183
伪装	710
但	1832
旁若无人	5521
闲着没事	5965
荣耀	5286
50	1352
买	370
崩塌	6385
男人和女人	6398
姿势	4565
发现	347
来历	4065
亲蜜	3275
透	1898
姐弟	4207
环保	5006
思忖	5522
部队	580
心中	1607
圆脸	5930
感到	221
玩耍	2083
手动档	4990
更多	6221
嘻嘻	4870
感觉到	199
网	2231
帮忙	2818
写真照	3961
妈呀	4857
胆小	2558
支付宝	5335
毕竟	2364
入	3458
报告	3100
鹿晗	4134
颜值	3634
跟头	2765
招财	6103
凉快	416
观众	2392
老总	4525
出	289
最	76
越多	3061
用心	4462
型	6628
马化腾	4105
家庭	3474
怎么样	12
倾听	843
油泼	5056
ppt	3099
上头条	5657
帮帮	6716
干燥	1182
下午	4506
是我的错	141
冬天	1740
十足	2635
去哪玩	4413
罚钱	2263
学说	3886
起泡	1195
九头	3613
感受	966
中文名	3302
齐	3438
特产	5712
自豪	2593
破烂	2801
短痛	1672
小明	652
口	1130
炙热	5964
巧	6151
念念	6586
vivo	4642
瑞士	6736
一起	231
文房四宝	6612
时会	4718
每个	3283
智慧	4114
名	3253
面临	1506
炫耀	2913
共事	4527
紧	2362
度	1143
卑鄙	2732
零蛋	5617
抑郁	1498
动手	3543
好时	6122
害羞	3652
重口	6352
下厨	4803
不利	1903
SKADI	3314
认为	191
不到	269
下去	702
歌儿	6517
来到	5469
肚皮	970
一路	793
对联	6753
刺痛	909
烦操	1561
要	64
眉毛	3627
腿疼	1276
出轨	6550
我恋爱了	3162
可别	5236
号码	4296
完美	335
被	120
一般	1991
英文名	3303
现在	86
如何是好	1100
保险	2216
年龄段	5167
怎么来	4023
血	4348
饥肠辘辘	1677
气死	1385
雾霾	5246
起源于	4444
客串	4784
可以抱你吗	6086
你想什么	219
男骗	6092
意思	190
摔掉	2380
嘴唇	1911
永不	6821
韩国人	4284
常理	1478
陪我	780
畅畅	1121
礼堂	3084
运气	1826
骗钱	1343
午睡	3421
嘿	5458
裂开	992
星期	6804
嫌	5951
勒紧	2227
中暑	1980
家具	3824
白日	6723
公斤	4382
提供	3999
穷	2358
魔兽世界	6694
亮色	5087
实在太	1012
玫瑰金	5078
交班	560
树叶	4616
恋爱	1714
性交	5748
播发	6763
沙	6203
麻将机	4687
布置	278
栽赃	1312
非诚	5257
膝盖	1865
艺名	6602
中有	3488
你在想什么	4060
整不	235
酒席	4233
南通	4675
地想	6272
山西	4665
玩捉迷藏	5955
色	4335
整个	1105
顶	5556
流出	3848
奥巴马	6252
常用	4883
哪家	5306
新来	5465
适合	3401
任何人	6859
男明星	5203
针刺	1278
物价上涨	5338
之貌	3642
笨蛋	2829
相当	2742
好可爱	2893
吃醋	6096
小梦	4391
好好学习	2412
运势	77
外衣	709
运动	3092
滚	432
可可	1751
不得劲	898
酒店	2383
最近有点烦	1609
烦	433
提些	5542
城市	2815
早上好	5319
不少	387
坐标	5575
朝代	6475
涨	1419
思路	4014
当过	4792
超	1465
娱乐	5186
得意	2212
做错事	2114
透彻	4356
管	4286
女人	5022
室友	6655
妈妈会	5728
经困	689
不忙	806
攻城	718
矫正	4322
我爱床	1389
娘娘	6826
林心如	3976
大方	3722
这	142
某天	595
女仆	6816
清涩	708
雅哥行	5404
道歉	109
融化	1986
吾皇	6222
两句	4049
美	72
绝活	5962
浪漫	5925
迷人	6270
一篇	6113
阴霾	1605
重庆	4668
流利	3885
个子	4377
昂头	1871
考核	2205
刻	6163
第一桶金	2946
浅	5810
渊博	394
配置	4987
街	4895
不灵敏	2704
苏有朋	5121
不开	1564
知了	4614
员工	4132
尊敬	4244
国歌	6303
走不动	930
家务	3791
社区	4142
月	2204
真令人	1544
痛过	2932
哪天	4420
赞美	359
优	5710
粥	1248
在	39
喝点	1085
你听我说	403
一脸	1799
怒放	2844
播出	5148
情场失意	2910
多血	3750
同学聚会	6664
水桶腰	3000
体育场	5075
同事	3021
两刀	5411
缺少	4684
活了	3239
鼻炎	1157
口罩	5314
烤鸭	5060
撒油	614
文静	6380
炒	2202
不干	245
不幸	1904
为此	1628
焦虑	1708
能耐	2588
为人处事	4088
独来独往	1726
掰	377
首都	4932
中文	3299
不带	2400
找到	1201
打群架	6600
郊游	5230
半点	2581
胆儿	2565
下得	6041
将来	3932
一致	6490
能聊	5326
脚背	3574
气喘吁吁	2255
攻击	6702
脚胀	910
得有	4371
彼此	5461
早饭	1393
佳节	3388
你们好	5328
食品	2808
重映	6581
地方	1500
石头	5705
报应	2740
流星雨	6572
秋裤	1756
病人	3747
养不养	6518
转圈	1037
不如	3210
早餐	3469
用餐	5367
脚肿	927
忠诚	5902
黄连	1933
瞒	138
那位	4248
高温	1975
吻	5584
流	1853
娱乐圈	647
我的奶奶	5789
倒数	1462
先生	4290
项目	2949
言外之意	5214
刚生	5819
咋样	3445
工人	3949
来头	4737
成绩	2007
冷要	3412
还敢	6315
甜点	5049
口干舌燥	1886
不够	741
倾心	5012
全组	2200
不多	2622
故事	1944
肉	2291
领会	5218
双手	3544
相对	4839
婆婆	3939
气温	2710
这张	6688
脚臭	940
危及	6136
爸爸妈妈	73
重复	4830
工作	540
膳	5354
哪开	5124
500	5743
只顾	1889
娇气	5934
下天	5648
女王大人	5399
吃错	950
达令	5396
科比	5853
花花	1122
牛逼	378
单身狗	3139
童星	5198
失败	1648
小气	1900
更加	2852
身材苗条	3597
把	297
碎	1923
向	249
金缕衣	6255
带来	3129
违反	6300
英语听力	2147
害病	5240
多饭	6608
检查	21
牙医	1065
新	2466
欺骗	1313
情不自禁	6271
健在	3477
治治	1199
风	1024
月经	1274
无语	205
伸手	3540
哪忙	5505
no	6021
故乡	3761
我是坏人	5851
会弹	5807
意料	5475
同胞	6254
手动挡	5010
起晚	2280
山路	1011
上诉	2331
痉挛	1237
电锯惊魂	6027
周六	3176
鸡翅包饭	5057
吉他	5808
歌声	5112
铅笔	1443
相声	50
合理	1319
玩	557
反而	2299
身	3614
肥皂	6049
支持不住	1532
小可爱	6842
长辈	3277
骄傲	2596
脸皮厚	2674
亲近	3294
枕头	1299
上课	2272
汽车	4994
拉屎	6395
奶油	4026
不完	6432
价位	4984
不安	2099
失踪	1438
春晓	6782
不定	6647
还有	748
觉得	18
清楚	264
辈分	4282
哈哈哈哈	6267
腰围	3595
音箱	4056
共同	3838
喜剧电影	4595
气消	3399
阅兵	6530
黄头发	3501
别白	2652
什	4410
逛街	556
滚蛋	482
太不容易	5421
意大利语	5736
垃圾桶	1452
丢	505
时侯	4422
爹妈	3484
历史	4074
ok	763
赏识	3039
读懂	6069
万万岁	6224
吓死	2093
嗡嗡	997
青年节	5380
尊姓大名	3263
雅思	3884
宠物	3304
空间	1420
战略	6762
唱歌	356
空闲	4183
舞	3452
出行	5247
症状	1049
手下	4529
手上	3546
大喜事	3076
复发	1161
允许	767
咽	978
中意	4602
心仪已久	2875
下午茶	5373
蓝	4850
你好	3250
陈羽	5652
业别	6576
下不为例	2267
高深	5220
众包	4750
mike	6492
这么久	2288
洗	5245
相好	4540
你妹	2838
还是	275
恢复	6577
自高自大	2603
对讲机	4046
能萌	3874
天知道	2656
儿	3264
不婚	5342
美食	4755
吃不吃	5739
几副	5656
爷爷	1262
气泡	1208
方式	2175
情绪	1818
剩	745
岛国	5559
负面	3705
欢笑	5574
韩梅梅	1844
感觉	174
往事	1633
糟糕	1557
结冰	2445
情感	4042
流眼泪	1885
条件	625
权利	5089
小苹果	5768
春眠不觉晓	6062
远点	461
似的	3992
天气预报	3831
吴彦祖	4133
派	2458
瘦下来	2994
付盛	4118
专利	4765
哈尼	5395
班	5427
菜系	6773
年	3376
三里屯	5751
渣滓	2799
心声	2128
花花草草	6127
贯籍	4891
每天	1158
羊	5643
暖风	4608
冷门	2409
首诗	5299
悄悄的	6262
慢慢	719
追星	5130
穿少	1750
碰	894
何意	4827
牌子	4983
黄子韬	6438
肥不肥	3596
蠢货	2767
更会	5600
人形	2376
说明	2251
动用	6758
不见不散	4499
火	346
身份证号	6382
温柔	2868
碍事	423
博物馆	4007
现场	4833
米	4374
印度	1961
组成部分	3559
近视	4320
湿	921
取	3273
元旦节	5270
锄禾日当午	6140
演	4781
乃是	3323
大肚腩	3007
祝	4415
电器	3997
引起	1147
企图	1603
冷话	6078
心碎了	1870
侃大山	4663
受	891
声律	6880
西瓜	1417
小敏要	6194
地球	2583
省钱	2370
拿手	3836
骗走	1368
解析	2723
得空	5041
达到	1511
医院	895
搭理	2006
紧张	743
再次	5324
身高	3467
好玩	164
清澈	2138
理由	4086
萌萌哒	2707
听听	2127
物理题	5860
温暖	6328
寓意	2103
决定	2354
领取	3029
所有	495
环境	2993
扫街	1580
猪猪	6837
节食	2381
山里	5484
改掉	3834
老爷爷	3937
干得漂亮	361
脱离	3161
偶尔	1594
瑟瑟	1745
跳蹄踏舞	4578
关于	3424
男能	6605
合格	2778
北电	5873
忘记	106
准备好了	3436
胃里	1246
人工	3995
苦死	1936
木头	2774
靠山	2417
腻烦	4906
面对	2992
说一说	3800
李名	5455
银行卡	110
扔掉	2805
缘由	5604
槽	6185
一顿	5784
彩虹	494
出门	1655
复习	2905
下笔成章	2928
接下来	3931
好点	6148
校方	6135
飞流直下	5634
比赛结果	2483
脸会	3675
味道	4804
没问题	2900
测	5924
哄	1342
士官长	5603
扩大	1007
小王	1764
小玉	4000
尽力	2320
差点	2194
药好	1099
几何	3943
流下来	3842
天津话	5761
顺口	3290
形状	3648
表达	865
工具	2467
夜	1296
害死	1357
存在	2612
不吭声	6099
走形	3593
小牛	6541
问好	5471
死掉	3751
嘿咻	6711
婆	5258
你在这里	5485
变黄	4617
打呼噜	6481
走开	448
明说	2624
